<<<<<<< Updated upstream

# No previous file for Goias
owner = B37
controller = B37
add_core = B37
culture = east_damerian
religion = regent_court
capital = ""
hre = no

base_tax = 2
base_production = 2
base_manpower = 1

trade_goods = naval_supplies

native_size = 78
native_ferocity = 8
=======

# No previous file for Goias
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B22
hre = no

base_tax = 2
base_production = 5
base_manpower = 1

trade_goods = naval_supplies

native_size = 78
native_ferocity = 8
>>>>>>> Stashed changes
native_hostileness = 10
