<<<<<<< Updated upstream

# No previous file for Puerto Deseado
culture = common_goblin
religion = goblinic_shamanism
capital = ""
hre = no
owner = B43
controller = B43
add_core = B43

base_tax = 1
base_production = 1
base_manpower = 1

trade_goods = wine	#could also do grain

native_size = 25
native_ferocity = 8
native_hostileness = 6
=======

# No previous file for Puerto Deseado
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B23
hre = no

base_tax = 1
base_production = 2
base_manpower = 1

trade_goods = unknown

native_size = 25
native_ferocity = 8
native_hostileness = 6
>>>>>>> Stashed changes
