<<<<<<< Updated upstream

# No previous file for Abancay
owner = B47
controller = B47
add_core = B47
culture = busilari
religion = regent_court
capital = ""
hre = no

base_tax = 1
base_production = 1
base_manpower = 1

trade_goods = salt

native_size = 31
native_ferocity = 8
=======

# No previous file for Abancay
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B29
hre = no

base_tax = 1
base_production = 2
base_manpower = 1

trade_goods = salt

native_size = 31
native_ferocity = 8
>>>>>>> Stashed changes
native_hostileness = 6
