<<<<<<< Updated upstream

# No previous file for Zacatula

owner = Z37
controller = Z37
add_core = Z37
culture = aldresian
religion = regent_court
capital = ""
hre = no

base_tax = 2
base_production = 1
base_manpower = 1

trade_goods = copper

native_size = 51
native_ferocity = 10
=======

# No previous file for Zacatula

culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B25
hre = no

base_tax = 2
base_production = 3
base_manpower = 1

trade_goods = unknown

native_size = 51
native_ferocity = 10
>>>>>>> Stashed changes
native_hostileness = 10
