<<<<<<< Updated upstream

# No previous file for Mexico
owner = B25
controller = B25
add_core = B25
capital = ""
tribal_owner = B25
hre = no

base_tax = 1
base_production = 1
base_manpower = 1

trade_goods = iron

native_size = 43
native_ferocity = 5
=======

# No previous file for Mexico
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B25
hre = no

base_tax = 1
base_production = 2
base_manpower = 1

trade_goods = iron

native_size = 43
native_ferocity = 5
>>>>>>> Stashed changes
native_hostileness = 8
