<<<<<<< Updated upstream

# No previous file for Zacatecas
owner = B02
controller = B02
add_core = B02
culture = corintari
religion = regent_court
capital = ""
hre = no

base_tax = 2
base_production = 1
base_manpower = 1

trade_goods = grain

native_size = 42
native_ferocity = 8
=======

# No previous file for Zacatecas
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B42
hre = no

base_tax = 2
base_production = 3
base_manpower = 1

trade_goods = unknown

native_size = 42
native_ferocity = 8
>>>>>>> Stashed changes
native_hostileness = 8
