<<<<<<< Updated upstream

# No previous file for Mescalero
owner = B21
controller = B21
add_core = B21
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B21
hre = no

base_tax = 1
base_production = 1
base_manpower = 1

trade_goods = fur

native_size = 29
native_ferocity = 8
=======

# No previous file for Mescalero
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B21
hre = no

base_tax = 1
base_production = 2
base_manpower = 1

trade_goods = unknown

native_size = 29
native_ferocity = 8
>>>>>>> Stashed changes
native_hostileness = 9
