<<<<<<< Updated upstream

# No previous file for Widnath
owner = Z35
controller = Z35
add_core = Z35
culture = high_lorentish
religion = regent_court
capital = ""
hre = no

base_tax = 1
base_production = 1
base_manpower = 1

trade_goods = grain

native_size = 25
native_ferocity = 6
=======

# No previous file for Widnath
culture = forest_goblin
religion = goblinic_shamanism
capital = ""
tribal_owner = B42
hre = no

base_tax = 1
base_production = 2
base_manpower = 1

trade_goods = grain

native_size = 25
native_ferocity = 6
>>>>>>> Stashed changes
native_hostileness = 8
