<<<<<<< Updated upstream

# No previous file for Swapstoke
owner = B42
controller = B42
add_core = B42
culture = forest_goblin
religion = goblinic_shamanism
capital = ""
tribal_owner = B42
hre = no

base_tax = 1
base_production = 1
base_manpower = 1

trade_goods = iron

native_size = 23
native_ferocity = 8
=======

# No previous file for Swapstoke
culture = forest_goblin
religion = goblinic_shamanism
capital = ""
tribal_owner = B42
hre = no

base_tax = 1
base_production = 2
base_manpower = 1

trade_goods = unknown

native_size = 23
native_ferocity = 8
>>>>>>> Stashed changes
native_hostileness = 8
