<<<<<<< Updated upstream

# No previous file for Caddo
owner = B36
controller = B36
add_core = B36
culture = marrodic
religion = regent_court
capital = ""
hre = no

base_tax = 1
base_production = 1
base_manpower = 1

trade_goods = iron

native_size = 55
native_ferocity = 8
native_hostileness = 8

add_permanent_province_modifier = {
	name = human_minority_integrated_small
	duration = -1
=======

# No previous file for Caddo
culture = green_orc
religion = great_dookan
capital = ""
tribal_owner = B21
hre = no

is_city = yes

base_tax = 1
base_production = 3
base_manpower = 1

trade_goods = unknown

native_size = 55
native_ferocity = 8
native_hostileness = 8

add_permanent_province_modifier = {
	name = human_minority_integrated_small
	duration = -1
>>>>>>> Stashed changes
}
